iter	Passed	Remaining
0	137	137565
1	139	69843
2	141	47173
3	143	35836
4	146	29146
5	148	24659
6	150	21407
7	152	18959
8	154	17050
9	156	15535
10	158	14288
11	161	13320
12	164	12465
13	166	11719
14	168	11067
15	170	10484
16	172	9975
17	175	9568
18	177	9188
19	180	8822
20	182	8491
21	184	8189
22	186	7909
23	188	7652
24	190	7419
25	192	7199
26	194	6994
27	195	6803
28	197	6626
29	199	6461
30	201	6311
31	204	6172
32	205	6036
33	207	5906
34	209	5787
35	211	5674
36	213	5565
37	216	5469
38	218	5391
39	220	5297
40	222	5213
41	224	5131
42	226	5050
43	230	5002
44	232	4927
45	234	4857
46	236	4789
47	238	4723
48	240	4663
49	242	4611
50	244	4554
51	246	4501
52	249	4451
53	251	4400
54	253	4352
55	255	4304
56	257	4267
57	260	4230
58	263	4197
59	265	4155
60	267	4117
61	269	4078
62	271	4039
63	273	4001
64	275	3964
65	277	3928
66	279	3892
67	280	3845
68	282	3810
69	284	3780
70	286	3748
71	288	3717
72	290	3686
73	292	3657
74	294	3627
75	296	3599
76	298	3573
77	300	3548
78	302	3521
79	304	3496
80	306	3473
81	308	3450
82	310	3427
83	312	3411
84	315	3391
85	317	3370
86	318	3342
87	321	3329
88	324	3323
89	327	3312
90	330	3297
91	332	3278
92	334	3259
93	336	3245
94	339	3236
95	342	3224
96	346	3230
97	349	3221
98	352	3210
99	355	3199
100	357	3186
101	359	3161
102	362	3153
103	365	3146
104	368	3139
105	371	3130
106	373	3116
107	375	3105
108	378	3095
109	381	3087
110	384	3077
111	387	3068
112	389	3059
113	392	3050
114	394	3039
115	397	3026
116	400	3021
117	403	3014
118	405	3002
119	408	2996
120	411	2991
121	414	2984
122	416	2966
123	418	2959
124	422	2955
125	424	2944
126	426	2934
127	428	2919
128	435	2943
129	439	2938
130	442	2933
131	445	2928
132	447	2918
133	450	2913
134	453	2906
135	456	2898
136	459	2893
137	461	2881
138	463	2874
139	466	2863
140	468	2853
141	470	2842
142	472	2832
143	474	2823
144	477	2814
145	481	2815
146	483	2806
147	486	2798
148	489	2797
149	492	2792
150	495	2787
151	498	2780
152	500	2771
153	502	2761
154	505	2755
155	508	2749
156	510	2740
157	514	2740
158	517	2736
159	519	2728
160	522	2724
161	526	2721
162	528	2714
163	530	2706
164	533	2698
165	535	2689
166	537	2680
167	539	2672
168	541	2664
169	544	2658
170	546	2650
171	548	2642
172	551	2634
173	553	2626
174	555	2617
175	557	2610
176	559	2601
